Student ID,Question ID,difficulty,correct,Response Time,topic,difficulty_encoded,global_correctness,avg_response_time,questions_answered_so_far,topic_correctness,easy_correct_avg,medium_correct_avg,hard_correct_avg,topic_questions_seen,topic_familiarity,num_words,qstn_complexity
86,73,easy,1,12958,16,1,0.6388888888888888,16385.86111111111,72,0.5,0.8571428571428571,0.3,0.07692307692307693,0,0,5,14.68
86,74,easy,1,8103,22,1,0.6438356164383562,16338.90410958904,73,0.8,0.86,0.3,0.07692307692307693,5,1,7,14.111428571428572
86,75,medium,0,26260,16,2,0.6486486486486487,16227.608108108108,74,1.0,0.8627450980392157,0.3,0.07692307692307693,1,1,8,12.605000000000004
86,76,easy,1,20084,5,1,0.64,16361.373333333333,75,1.0,0.8627450980392157,0.2727272727272727,0.07692307692307693,1,1,10,9.55
86,77,medium,1,26029,5,2,0.6447368421052632,16410.355263157893,76,1.0,0.8653846153846154,0.2727272727272727,0.07692307692307693,2,1,8,9.655000000000001
86,78,medium,0,23849,15,2,0.6493506493506493,16535.272727272728,77,0.75,0.8653846153846154,0.3333333333333333,0.07692307692307693,4,1,57,11.465350877192986
86,79,easy,0,19834,9,1,0.6410256410256411,16629.03846153846,78,0.3333333333333333,0.8653846153846154,0.3076923076923077,0.07692307692307693,3,1,7,10.740000000000002
86,80,easy,0,14488,15,1,0.6329113924050633,16669.607594936708,79,0.6,0.8490566037735849,0.3076923076923077,0.07692307692307693,5,1,20,4.830000000000002
86,81,easy,1,19339,5,1,0.625,16642.3375,80,1.0,0.8333333333333334,0.3076923076923077,0.07692307692307693,3,1,15,8.353333333333339
86,82,easy,0,16840,5,1,0.6296296296296297,16675.62962962963,81,1.0,0.8363636363636363,0.3076923076923077,0.07692307692307693,4,1,16,9.087500000000002
86,83,easy,1,14607,15,1,0.6219512195121951,16677.634146341465,82,0.5,0.8214285714285714,0.3076923076923077,0.07692307692307693,6,1,12,3.84
86,84,easy,0,15431,5,1,0.6265060240963856,16652.68674698795,83,0.8,0.8245614035087719,0.3076923076923077,0.07692307692307693,5,1,12,5.806666666666668
86,85,medium,0,24145,5,2,0.6190476190476191,16638.14285714286,84,0.6666666666666666,0.8103448275862069,0.3076923076923077,0.07692307692307693,6,1,47,11.080000000000002
86,86,easy,0,14153,3,1,0.611764705882353,16726.45882352941,85,0.5,0.8103448275862069,0.2857142857142857,0.07692307692307693,0,0,26,11.796153846153846
86,87,easy,0,16534,3,1,0.6046511627906976,16696.53488372093,86,0.0,0.7966101694915254,0.2857142857142857,0.07692307692307693,1,1,26,12.250000000000004
86,88,easy,1,14271,5,1,0.5977011494252874,16694.666666666668,87,0.5714285714285714,0.7833333333333333,0.2857142857142857,0.07692307692307693,7,1,16,12.775000000000002
86,89,easy,0,18590,22,1,0.6022727272727273,16667.125,88,0.8333333333333334,0.7868852459016393,0.2857142857142857,0.07692307692307693,6,1,14,10.098571428571429
86,90,hard,0,23132,16,3,0.5955056179775281,16688.73033707865,89,0.5,0.7741935483870968,0.2857142857142857,0.07692307692307693,2,1,20,13.450000000000003
86,91,easy,1,16281,2,1,0.5888888888888889,16760.32222222222,90,0.5,0.7741935483870968,0.2857142857142857,0.07142857142857142,0,0,9,11.520000000000003
